customer_tweet_id,customer_text,amazon_reply,true_intent,true_escalate,true_escalation_reason
861249,@115850 Amazon is the best and original,"@394187 We're glad you like our services, Murtaza. Thank you for the feedback! :) ^HD",General_Product_Inquiry,FALSE,Informational inquiry or general brand feedback safe for auto-reply
1054795,"@119625 you guys are doing a great job by adding new titles, hope to see malayalam movies as well. Keep up the good work.",@369230 Thank you so much for the feedback. I'll be sure to forward the feedback to the concerned team internally. 1/2 ^AP,Digital_Services_Prime,FALSE,Informational inquiry or general brand feedback safe for auto-reply
1398888,@AmazonHelp I paid for one day shipping and it's delayed... this doesn't even make sense... https://t.co/WHBtYZxPWU,"@125690 Oh my! Deliveries are made until 8 PM. Keep us updated, Barb! ^AB",Shipping_Delivery_Issues,TRUE,Specific delivery delay or missing parcel requiring order investigation
249771,@AmazonHelp Is there any limit of keeping patience? It's been over month and still being told to keep patience and no ETA. Whom to approach for refund.,@175368 https://t.co/beaaDm0muc and I’ll contact you at the earliest.  3/3 ^NK,Returns_Refunds_Damaged,TRUE,"Financial transaction, refund request, or account security verification required"
2823130,Is there any way to delete the account? @115850,"@786659 Apologies for the issues with the delivery. Did we miss out on the estimated date?
Also in case if you wish to cancel the account, please report to our support team here: https://t.co/HQhpS2qeEd and we will help you further. ^BS",Account_Billing_Membership,TRUE,"Financial transaction, refund request, or account security verification required"
686683,Since when did it cost a fuck ton to send stuff back to @115830 !? Bye bye prime membership.. waste of money. Amazon have gotten more and more greedy by the month.,"@283959 Hey, are you having a problem with a return? Without divulging any personal information could you please explain your issue?^PJ",Returns_Refunds_Damaged,TRUE,"High customer distress, anger, or delivery grievance requiring human handling"
1456335,"@458025 preordered your book from @115830, hasn't arrived or even been dispatched.  They need to Get After It, so that I can.",@458024 Oh no! Have we missed that delivery date given on the confirmation email? ^BA,Shipping_Delivery_Issues,TRUE,Specific delivery delay or missing parcel requiring order investigation
2864811,Hey @115821 how is this okay when packages are normally delivered to our door? https://t.co/Gy40O6LcM8,"@795714 This definitely isn't up to our delivery standards, we'd like to escalate this to the carrier so it doesn't happen again. Are you able to tell who the carrier was from any of the tracking labels? ^MB",Shipping_Delivery_Issues,FALSE,Informational inquiry or general brand feedback safe for auto-reply
311532,@AmazonHelp Have not received any update from you. no one has come to pick up the old device .,@190398 We've sent a correspondence to your registered email address. Please check and revert. ^SQ,General_Product_Inquiry,FALSE,Informational inquiry or general brand feedback safe for auto-reply
937640,"@AmazonHelp 9648298254 Amazon delivery boy charged extra amount, and not taking calls, amazon courier team did not take any action. very bad","@342268 I apologize for this. Do not worry, we'll have this checked for you. ^NR 1/2",Account_Billing_Membership,TRUE,"Financial transaction, refund request, or account security verification required"
2220171,"Hey @115821, since when do you ship like this? Way to ruin a Christmas gift! @AmazonHelp https://t.co/VlPNJyvznt","@648479 It looks like that item ships in its original packaging. For future orders, be on the look out for the ""This is a gift"" option or the option to ""Ship in an Amazon box"" during checkout. For more information, visit us here: https://t.co/96zOv2zKh8 ^TK",General_Product_Inquiry,FALSE,Informational inquiry or general brand feedback safe for auto-reply
2398267,"@AmazonHelp Cool thanks, if I wanna cancel my prime membership how much notice do I give?","@129920 You can let us know as soon as the day before your Prime renews. You can also use the link provided by KJ. Use the left-hand menu to make adjustments to your membership. If you turn off auto-renewal, it your Prime will cancel at the end of the pay cycle. ^MJ",General_Product_Inquiry,FALSE,Informational inquiry or general brand feedback safe for auto-reply
277822,@AmazonHelp I phoned up last night and you was told no one could find out where my parcels where or guarantee when they would be delivered.,@164991 Were you given a final deadline as to when they could be delivered? ^MC,Shipping_Delivery_Issues,FALSE,Informational inquiry or general brand feedback safe for auto-reply
1337202,@AmazonHelp @AmazonHelp and now they drove past my house... https://t.co/tkIFXzGOOk,@424355 Looks like it is still in route. You can also call for an update here: https://t.co/EKXRLsnxJu ^AF,General_Product_Inquiry,FALSE,Informational inquiry or general brand feedback safe for auto-reply
