customer_tweet_id,customer_text,amazon_reply
861249,@115850 Amazon is the best and original,"@394187 We're glad you like our services, Murtaza. Thank you for the feedback! :) ^HD"
1054795,"@119625 you guys are doing a great job by adding new titles, hope to see malayalam movies as well. Keep up the good work.",@369230 Thank you so much for the feedback. I'll be sure to forward the feedback to the concerned team internally. 1/2 ^AP
1398888,@AmazonHelp I paid for one day shipping and it's delayed... this doesn't even make sense... https://t.co/WHBtYZxPWU,"@125690 Oh my! Deliveries are made until 8 PM. Keep us updated, Barb! ^AB"
249771,@AmazonHelp Is there any limit of keeping patience? It's been over month and still being told to keep patience and no ETA. Whom to approach for refund.,@175368 https://t.co/beaaDm0muc and I’ll contact you at the earliest.  3/3 ^NK
2823130,Is there any way to delete the account? @115850,"@786659 Apologies for the issues with the delivery. Did we miss out on the estimated date?
Also in case if you wish to cancel the account, please report to our support team here: https://t.co/HQhpS2qeEd and we will help you further. ^BS"
686683,Since when did it cost a fuck ton to send stuff back to @115830 !? Bye bye prime membership.. waste of money. Amazon have gotten more and more greedy by the month.,"@283959 Hey, are you having a problem with a return? Without divulging any personal information could you please explain your issue?^PJ"
1456335,"@458025 preordered your book from @115830, hasn't arrived or even been dispatched.  They need to Get After It, so that I can.",@458024 Oh no! Have we missed that delivery date given on the confirmation email? ^BA
2864811,Hey @115821 how is this okay when packages are normally delivered to our door? https://t.co/Gy40O6LcM8,"@795714 This definitely isn't up to our delivery standards, we'd like to escalate this to the carrier so it doesn't happen again. Are you able to tell who the carrier was from any of the tracking labels? ^MB"
311532,@AmazonHelp Have not received any update from you. no one has come to pick up the old device .,@190398 We've sent a correspondence to your registered email address. Please check and revert. ^SQ
937640,"@AmazonHelp 9648298254 Amazon delivery boy charged extra amount, and not taking calls, amazon courier team did not take any action. very bad","@342268 I apologize for this. Do not worry, we'll have this checked for you. ^NR 1/2"
2220171,"Hey @115821, since when do you ship like this? Way to ruin a Christmas gift! @AmazonHelp https://t.co/VlPNJyvznt","@648479 It looks like that item ships in its original packaging. For future orders, be on the look out for the ""This is a gift"" option or the option to ""Ship in an Amazon box"" during checkout. For more information, visit us here: https://t.co/96zOv2zKh8 ^TK"
2398267,"@AmazonHelp Cool thanks, if I wanna cancel my prime membership how much notice do I give?","@129920 You can let us know as soon as the day before your Prime renews. You can also use the link provided by KJ. Use the left-hand menu to make adjustments to your membership. If you turn off auto-renewal, it your Prime will cancel at the end of the pay cycle. ^MJ"
277822,@AmazonHelp I phoned up last night and you was told no one could find out where my parcels where or guarantee when they would be delivered.,@164991 Were you given a final deadline as to when they could be delivered? ^MC
1337202,@AmazonHelp @AmazonHelp and now they drove past my house... https://t.co/tkIFXzGOOk,@424355 Looks like it is still in route. You can also call for an update here: https://t.co/EKXRLsnxJu ^AF
1287017,@AmazonHelp The first pic is a screenshot from the @26523 official website n 2nd pic is from @115850 n 3rd is the 10$ conversion in rupees https://t.co/vYFnzmaxLs,"@406984 However, I'll pass along your feedback to the team concerned for review. 2/2 ^HD"
142058,"@148057 @115850 @AmazonHelp Hey Amazon, why is Aadhaar needed?",@148056 Kindly reply to the correspondence you've received from us for further assistance. Appreciate your understanding. ^SM
327588,"@AmazonHelp ""Sold by https://t.co/LQYgU4yBnA LLC""",@194093 You can check out available options by using the Online Retunrs Center here: https://t.co/4p4HwPguR2 ^GL
1919906,"@AmazonHelp @115851  @115850  thanks a ton for making my diwali extra happy 
 Got my phone at 8 am today 
 Thanks again","@219626 Glad to hear about the delivery update, appreciate your patience while we worked on it. ^MJ"
577770,"@AmazonHelp I  don't need your apologies i just need my product delivered to me that's  it. As i have already shared all information with your customer representative  many times 
what other information you want for  connecting with me i can't understand  ????????????","@227488 I understand that you're unhappy with this service. This was never really intended, I would request you to revert back to the correspondence e-mail because we wouldn't be able to proceed further. ^KK"
1626623,@AmazonHelp will have to turn to Flipkart I suppose to meet my requirement of genuine product!,@498002 Looks like you've had an unpleasant experience. Could you please elaborate on your concern so that we can help you? ^SS
2735647,"I got a call back from @115821 today regarding my misdelivered packages. I didn't get the name of the rep who spoke with me, but he was super helpful! Thank you @AmazonHelp folks!!",@144759 Thanks for taking the time to share the love! We all hope you enjoy the rest of the night! ^EP
317744,@115850 See the marketing gimmick carried out to misguide customers. Same product price has increased on Festival sale. https://t.co/7iiMjKJwU8,"@191833 you the lowest price, may result in fluctuations in our prices over time. 2/2 ^PS"
2459939,"@AmazonHelp Hi ,,,actually i took amazon development project from creative bug(saranshs group-delhi), iam doing this from 4months i done perfectly and sent full information of all shops registrations i done ,,, i have maintained 30employees with 3branches in 3districts,  but no bills","@704444 Apologies Sekhar, Twitter being a public platform we do not have access to any such business transactions. I would request you to please contact the concerned team you worked along with, for a better insight. Thank you for understanding. ^SI"
353235,@115850 shipng date SEP 21..till now not deliverd https://t.co/BPGoYUK3pk,"@199974 We will sort this for you. Also, please don’t provide your tracking details as we consider 2/3 ^SB"
250699,@AmazonHelp https://t.co/ICFSjqe5s3.    Thank you!,@175581 I'm not able to reproduce the situation. Are you still seeing the listed pricing you had provided in the screenshot? ^MJ
297296,"@AmazonHelp Reiterating again-""There has been NO emails from Social Media team for LAST 28 DAYS"" @115821 @115850 Please STOP posting fake tweets again",@186821 I get your concern. Since you have not received any emails. Please share your details here: https://t.co/GIJyeYqKE0. 1/2 ^PS
176468,"@AmazonHelp Purolator failed yet again to deliver the item I ordered last week for one-day delivery. Amazon ""guaranteed delivery"" on Friday. What are my options here? Can I re-order and have you deliver on your own trucks?","@157519 Prime One-Day and Two-Day Shipping refers to business days in transit once shipped, and doesn't include any processing time. There is currently no way to request a carrier to ship. 
We're happy to look into available options here: https://t.co/Q7Ftz6nj80 
-Lydia L."
269130,@AmazonHelp  My Gift card code is not working. Please help,@180171 Sorry to know you're facing issues with gift card. Please reach us from here: https://t.co/rS49hgaADF we'll assist you. ^SV
526506,"@AmazonHelp Can you resend the link once, I already did earlier, Will do again if needed.",@241842 Kindly fill in your details here: https://t.co/GIJyeY99fq and we'll get in touch with you soon. ^PB
485348,"After years of buying, first time I ship with Amazon Logistic and it's just a quick way to throw away my money, 800 $ lost in merchandise and you just can not be held responsible. What good policies, guys, great work. @115821 @116928, that was a Black Friday in deep","@230469 Hi, can you tell us a bit more about the issue without sharing any personal or account information? ^JJ"
63938,"@AmazonHelp filled the form and got this message 
Your message has been sent. We will contact you within 12 business hours, 7 days a week 10:00 to 19:00 IST.
12 days you need to solve this issue
what the hell it is team",@130667 Please confirm if you have provided the details shared earlier by 'SC' and we'll look into your concern at the earliest. ^SF
2557150,@119625  you guys need to fix this. iPad iOS 11.x https://t.co/yLI6QO2KSZ,"@725993 Could you please tell us what exactly is the issue you are facing while watching prime video, so we get this checked with our concerned team? ^BS"
426351,@216403 @AmazonHelp Hi Amazon r u hearing at all,@216405 We are following up with the concerned customer. ^RW
1184741,@AmazonHelp Yes but neither I nor the recipient redeemed it. This was a 21st birthday present and it has gone horribly wrong through no fault of ours,@398603 Thanks for clarifying Mags. Please forward your details - https://t.co/tkLCr7DNil w'd like a specialist to investigate. ^TP
304607,@121284 was expecting Prime Music or something better. Got saavn which is the worst. It has 99% hindi songs!!,@188732 I get your concern. I'll be sure to forward your feedback internally. ^PS
2670063,@120474 can you tell us why we brought 2 @263821 tickets only to get an email saying there was a problem with our order 5 mins later?,@751958 Hi Samantha. Did the email explain further what caused the issue? ^NV
713322,"@AmazonHelp I did, was given another refund for an item that was damaged and an apology.",@290615 I can certainly understand any frustration. Please let us know if you continue to have trouble. ^LI
1269495,"@115850 
What will I get by filling damn forms..
Make it quick u b*****s","@387622 Twitter being a social media platform, we will not be able to access your account details, Vedanshu. ^KS 1/2"
611112,"@AmazonHelp hi , nothing happenned reg my last query. ????","@265298 Are you referring to your account being put on hold, Anil? ^NR"
1495621,"@AmazonHelp Order was dispatched at 11.39 and is being delivered from Fife, Scotland. I live in Surrey.. Good luck getting in here on time.","@467265 Hi James, what does the latest scan on the tracking say? ^AT"
1464129,@459845 @AmazonHelp It's so annoying. I talked to @AmazonHelp two days ago and I asked them if putting the gate code means it gets delivered to my door directly. Support says yes.. Well guess where the fucking package is yet again..,"@459844 Oh no! I'm sorry to hear about this. I'd like to have a member of my team look into this with you. When you get a moment, please provide some additional details: https://t.co/foGsOx9LHT ^SW"
1744129,"@AmazonHelp I have gone through the whole help index and nothing on there covers my problem, the parcel is lost in transit so i cannot return it as i have never had it, what should i do ?","@526006 You can join our customer service to resolve this problem via: https://t.co/MBTDQi7u2J  
^YL"
815510,"@AmazonHelp Tracking #

229158691490

Tracking #

135121724679

Tracking #

237303606015

I need this by tomorrow, share me the latest update",@314201 We'll not be able to check your information here. Did we miss our estimated delivery date? 1/2^SC
2310311,@AmazonHelp No. The estimated delivery date has passed but the product isn't even shipped yet.,"@670044 Sorry about your experience, Pradyumna. Kindly fill in the details here: https://t.co/beaaDm0muc, we'll check and get back to you with an update at the earliest. ^HS"
1428632,@AmazonHelp Account specialist sent me same email again to again,@124474 The resolution provided by our account specialist team is the best. We wouldn't be able to provide any further insight on this. ^NS
527153,@AmazonHelp https://t.co/Xgr0HmMPi3,"@242012 Have you used the 'Contact Seller' option provided within your order details? For more information, please refer to the following: https://t.co/Uzys6m2vUQ ^WM"
675173,@AmazonHelp Today.,@134539 Sorry to hear that you've had issues recently. Keep an eye on your tracking: https://t.co/aaDyEz1VgE for updates and keep us posted.^TI
848143,@115830 so i have been waiting in all day and keeping an eye on the post for my CD and i get this??? You obviously didn't try hard enough. https://t.co/Z9kNlvwXje,@321568 I'm truly sorry this happened! We want to help. Please contact us here for further assistance: https://t.co/JzP7hlA23B ^SH
764784,@115828 how come games released on Tuesday aren't delivered until Thursday? Why aren't they delivered the day they come out?,"@302792 Happy to help, Christopher! If the game has Release Date delivery, you can find that info here https://t.co/2O2uwQO0Vb ^HM"
322628,@AmazonHelp @115850 I am really disappointed with your services. i will not buy and will not recommend for my friends and family as i lost trust onyourService,@191896 I'm sorry for any trouble. Could you please elaborate so that we can assist you accordingly in the best possible way? ^RW
725265,"Just got off the most frustrating 35min call w @115821 . I get hacked yet,I get treated like the criminal. Where did good customer serv. Go?",@164420 That's not the experience we like to hear about. What options/info did we provide you when you contacted us? ^GG
363318,@AmazonHelp My parcel was wrongly returned on calling cs giving diff answers and ask me to rebook and increase the cost. Too many other issues as well,"@202081 to reinstate the order. Request you to place a new order. Further, I'll surely forward this as feedback internally. (2/2)^SQ"
2960429,So @115821 has a delivery service that says they delivered a package but didn't.,"@817046 Oh no! I'm sorry to hear you didn't receive your package! I'd like to have a member of my team look into this for you. When you get a moment, please provide us with some additional details: 
https://t.co/W6Ks8upE5t ^SW"
302240,"If @115821 is going to do its own package delivery, it might want to ask @115817 and @81 for simple tips on stopping package theft... https://t.co/PC6xYVsEQu","@188115 My team can make sure this is escalated properly. When you have time, send us your details here: https://t.co/pUlgN6FQG8 ^EP"
969353,@AmazonHelp Should I ? I don't think so,@350086 Please get in touch with us using the link mentioned above by my colleague 'SH'  and we'll sort out your issue. ^AU
1737618,@AmazonHelp I can't see the response.,@201488 We have responded to your query over DM. I request you to kindly check once again. ^SY
1318271,@AmazonHelp I asked that when will u release I know that new movies'll be released in prime. Com. Ur answer is completely different from my question,@287450 We do not have an announcement yet. Kindly stay tuned for an update! ^EM
2379820,@AmazonHelp My account email has changed by someone somewhere... It was __email__ mobile 9702040076,"@686233 Kindly fill in the details or connect with our support team for assistance on it. We will not be able check your details over social platform. Please don't provide your order details, as we consider it to be personal information. Our Twitter page is public.​ ^RW"
2952349,alright @115821 I'm going to need y'all to deliver my stuff. it was supposed to be here yesterday. so much for 2 day prime delivery,@392402 Oh no! So sorry for the delay! We are here to help! What is the current order status shown here: https://t.co/Y5jpI9gRhE ^AD
